,country,region_1,variety,points_median,location,address,point,latitude,longitude,altitude
0,Argentina,Agrelo,Red Blend,92.0,"Agrelo, Argentina","Agrelo, Distrito Agrelo, Departamento Luján de Cuyo, Mendoza, Argentina","(-33.1184629, -68.8859261, 0.0)",-33.1184629,-68.8859261,0.0
1,Argentina,Alto Valle del Río Negro,Sauvignon Blanc,90.0,"Alto Valle del Río Negro, Argentina",,,,,
2,Argentina,Altos de Mendoza,Malbec,86.0,"Altos de Mendoza, Argentina","Altos de Mendoza, Antártida Argentina, Distrito Noroeste, Rosario, Municipio de Rosario, Departamento Rosario, Santa Fe, S2008, Argentina","(-32.9451452, -60.7279173, 0.0)",-32.9451452,-60.7279173,0.0
3,Argentina,Argentina,Torrontés,92.0,"Argentina, Argentina",Argentina,"(-34.9964963, -64.9672817, 0.0)",-34.9964963,-64.9672817,0.0
4,Argentina,Buenos Aires,Sauvignon Blanc,89.0,"Buenos Aires, Argentina","Ciudad Autónoma de Buenos Aires, Argentina","(-34.6075682, -58.4370894, 0.0)",-34.6075682,-58.4370894,0.0
5,Argentina,Cafayate,Torrontés,90.5,"Cafayate, Argentina","Cafayate, Municipio de Cafayate, Cafayate, Salta, A4427AHB, Argentina","(-26.071047, -65.9800655, 0.0)",-26.071047,-65.9800655,0.0
6,Argentina,Calchaquí Valley,White Blend,91.0,"Calchaquí Valley, Argentina","La Calchaquí, Deseado, Santa Cruz, Argentina","(-47.1110925, -68.29781503836338, 0.0)",-47.1110925,-68.29781503836338,0.0
7,Argentina,Catamarca,Cabernet Sauvignon,85.0,"Catamarca, Argentina","Catamarca, Argentina","(-27.1910825, -67.105374, 0.0)",-27.1910825,-67.105374,0.0
8,Argentina,Famatina Valley,Torrontés,88.0,"Famatina Valley, Argentina","Famatina, Departamento Famatina, La Rioja, F5365, Argentina","(-28.9250648, -67.519583, 0.0)",-28.9250648,-67.519583,0.0
9,Argentina,Jujuy,Red Blend,92.0,"Jujuy, Argentina","Jujuy, Argentina","(-23.3161458, -65.7595288, 0.0)",-23.3161458,-65.7595288,0.0
10,Argentina,La Consulta,Tempranillo,91.5,"La Consulta, Argentina","La Consulta, Aconcagua, ¨residente Sarmiento, Godoy Cruz, Departamento Godoy Cruz, Mendoza, M5504GRQ, Argentina","(-32.9252217, -68.8735098, 0.0)",-32.9252217,-68.8735098,0.0
11,Argentina,La Rioja,Torrontés,86.0,"La Rioja, Argentina","La Rioja, Argentina","(-29.9729781, -67.0487944, 0.0)",-29.9729781,-67.0487944,0.0
12,Argentina,Luján de Cuyo,White Blend,93.0,"Luján de Cuyo, Argentina","Luján de Cuyo, Distrito Ciudad de Luján de Cuyo, Departamento Luján de Cuyo, Mendoza, Argentina","(-33.0391408, -68.8799861, 0.0)",-33.0391408,-68.8799861,0.0
13,Argentina,Maipú,White Blend,87.0,"Maipú, Argentina","Maipú, Distrito Ciudad de Maipú, Departamento Maipú, Mendoza, Argentina","(-32.9846244, -68.7882077, 0.0)",-32.9846244,-68.7882077,0.0
14,Argentina,Medrano,Malbec,88.0,"Medrano, Argentina","Medrano - Almagro, Avenida Corrientes, Almagro, Comuna 5, Ciudad Autónoma de Buenos Aires, 1194, Argentina","(-34.6032012, -58.4208126, 0.0)",-34.6032012,-58.4208126,0.0
15,Argentina,Mendoza,White Blend,93.0,"Mendoza, Argentina","Mendoza, Argentina","(-34.78719615, -68.43807123826872, 0.0)",-34.78719615,-68.43807123826872,0.0
16,Argentina,Neuquén,Torrontés,88.0,"Neuquén, Argentina","Neuquén, Argentina","(-38.3695057, -69.832275, 0.0)",-38.3695057,-69.832275,0.0
17,Argentina,Patagonia,White Blend,88.0,"Patagonia, Argentina","Patagonia, Departamento Río Senguer, Chubut, Argentina","(-44.99006975, -70.81731046588706, 0.0)",-44.99006975,-70.81731046588706,0.0
18,Argentina,Pedernal Valley,Malbec-Bonarda,90.0,"Pedernal Valley, Argentina","Pedernal, Sarmiento, San Juan, Argentina","(-32.0676324, -68.8065807, 0.0)",-32.0676324,-68.8065807,0.0
19,Argentina,Perdriel,Malbec,91.0,"Perdriel, Argentina","Perdriel, Villa 26 - Asentamiento Agustín Magaldi, Barracas, Ciudad Autónoma de Buenos Aires, Comuna 4, 1290, Argentina","(-34.6494981, -58.3858927, 0.0)",-34.6494981,-58.3858927,0.0
20,Argentina,Río Negro Valley,Pinot Noir,90.0,"Río Negro Valley, Argentina","Río Negro, Argentina","(-40.4811973, -67.6145911, 0.0)",-40.4811973,-67.6145911,0.0
21,Argentina,Salta,White Blend,90.5,"Salta, Argentina","Salta, Argentina","(-25.1076701, -64.3494964, 0.0)",-25.1076701,-64.3494964,0.0
22,Argentina,San Carlos,Malbec,88.0,"San Carlos, Argentina","San Carlos, Deseado, Santa Cruz, Argentina","(-46.432134500000004, -67.94937405037274, 0.0)",-46.432134500000004,-67.94937405037274,0.0
23,Argentina,San Juan,Viognier,92.0,"San Juan, Argentina","San Juan, Argentina","(-30.7054363, -69.1988222, 0.0)",-30.7054363,-69.1988222,0.0
24,Argentina,San Rafael,Chardonnay,83.5,"San Rafael, Argentina","San Rafael, Distrito Ciudad de San Rafael, Departamento San Rafael, Mendoza, Argentina","(-34.6126025, -68.330514, 0.0)",-34.6126025,-68.330514,0.0
25,Argentina,Tulum Valley,White Blend,86.0,"Tulum Valley, Argentina","Tulum, Villa Flora, Rivadavia, San Juan, 5406, Argentina","(-31.5475153, -68.5667553, 0.0)",-31.5475153,-68.5667553,0.0
26,Argentina,Tupungato,White Blend,91.0,"Tupungato, Argentina","Tupungato, Distrito Ciudad de Tupungato, Departamento Tupungato, Mendoza, 5561, Argentina","(-33.3723648, -69.1479533, 0.0)",-33.3723648,-69.1479533,0.0
27,Argentina,Uco Valley,White Blend,91.0,"Uco Valley, Argentina","UCO, 5862, Soler, Palermo Soho, Palermo, Comuna 14, Ciudad Autónoma de Buenos Aires, 1425, Argentina","(-34.5788471, -58.4353082, 0.0)",-34.5788471,-58.4353082,0.0
28,Argentina,Valle de Uco,Torrontés,92.0,"Valle de Uco, Argentina",,,,,
29,Argentina,Vista Flores,White Blend,88.0,"Vista Flores, Argentina","Vista Flores, Distrito Vista Flores, Departamento Tunuyán, Mendoza, 5565, Argentina","(-33.6509493, -69.1555479, 0.0)",-33.6509493,-69.1555479,0.0
30,Argentina,Zonda Valley,Syrah,86.0,"Zonda Valley, Argentina","Zonda, San Juan, Argentina","(-31.575441, -68.92779263795131, 0.0)",-31.575441,-68.92779263795131,0.0
